2020-05-18 13:05:53.697 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-18 13:05:53.977 [main] INFO  o.s.c.c.client.ConfigServicePropertySourceLocator - Fetching config from server at : http://localhost:8760/
2020-05-18 13:05:57.596 [main] INFO  o.s.c.c.client.ConfigServicePropertySourceLocator - Located environment: name=user-services, profiles=[dev], label=master, version=d4a26274e5b0574114a9590ca9e12dc02e07f053, state=null
2020-05-18 13:05:57.597 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: OriginTrackedCompositePropertySource {name='configService', propertySources=[MapPropertySource {name='configClient'}, OriginTrackedMapPropertySource {name='https://github.com/zswfly/declare_config/declare_config_repo/user-services-dev.yml'}]}
2020-05-18 15:48:12.346 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-18 15:48:12.477 [main] INFO  o.s.c.c.client.ConfigServicePropertySourceLocator - Fetching config from server at : http://localhost:8760/
2020-05-18 15:48:25.222 [main] INFO  o.s.c.c.client.ConfigServicePropertySourceLocator - Located environment: name=user-services, profiles=[dev], label=master, version=1252b39e650fc69f6acd1f4de2f91d4eab89621a, state=null
2020-05-18 15:48:25.224 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: OriginTrackedCompositePropertySource {name='configService', propertySources=[MapPropertySource {name='configClient'}, OriginTrackedMapPropertySource {name='https://github.com/zswfly/declare_config/declare_config_repo/user-services-dev.yml'}]}
2020-05-18 15:54:57.668 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-18 15:54:57.850 [main] INFO  o.s.c.c.client.ConfigServicePropertySourceLocator - Fetching config from server at : http://localhost:8760/
2020-05-18 15:55:06.132 [main] INFO  o.s.c.c.client.ConfigServicePropertySourceLocator - Located environment: name=user-services, profiles=[dev], label=master, version=1252b39e650fc69f6acd1f4de2f91d4eab89621a, state=null
